initiative_id,report_id,company_name_english,ESG_block,theme_tag,initiative_title,initiative_description,collaboration_present,collaboration_type,actors_involved,collaboration_model,driver_primary,outputs_or_outcomes,KPI_present,KPI_list,geography,evidence_file_name,evidence_page_numbers,confidence,cluster_id,cluster_keywords,similar_initiative_ids,similar_initiative_titles
CN001-I001,CN001,Alibaba,S,training_education,"As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistanc...","As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistance Plan for 10,000 Merchants, launched by Alibaba Foundation together with Taobao and Tmall, cumulatively supported over 4,000 merchants with disabilities through free training and business diagnosis services.",yes,Business–NGO/Nonprofit,Alibaba Foundation,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"31, 2024, 10,000, 4,000",yes,not stated,not stated,Alibaba 2024.pdf,17,High,17,"tcl, foundation, charity, 2024, tcl charity, charity foundation",CN001-I006;CN005-I007;CN035-I006;CN002-I003;CN009-I004,"19 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustaina... || 2024 Baidu Business Ethics Promotion Week: Through a range of online and offlin... || 2 Enriched Digital Functionalities and Services to Help Our Customers Manage The... || As of the end of 2024, through initiatives such as the A-Idol initiative digital... || Fostering angel investing to support technology start-ups in taking root and gro..."
CN001-I002,CN001,Alibaba,S,diversity_inclusion,"Promoting diversity, equity, and inclusion Attracting and retaining talents Enha...","Promoting diversity, equity, and inclusion Attracting and retaining talents Enhancing employee health and vitality 60 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustainable Digital Life Fueling Small Businesses Enhancing Community Inclusion and Resilience Facilitating Participatory Philanthropy Building Trust Appendices Alibaba International Digital Commerce Group has launched learning column themed about globalization To nurture global mindsets and skill sets among employees, Alibaba International Digital Commerce Group has launched learning column themed about globalization.",yes,Business–Society/Community,International Digital Commerce Group has launched learning column themed about globalization; International Digital Commerce Group has launched learning column themed about globalization To,E) Society pressure / stakeholder demand-driven,iii) stakeholder/community demand,60,yes,not stated,not stated,Alibaba 2024.pdf,61,High,2,"governance, management, report, social, development, environmental",CN071-I008;CN056-I006;CN001-I007;CN065-I007;CN013-I003,"46 Building Foundations Together with Partners Sustainability Management 2024 Su... || • • Deepen Strategic Transformation Forge Exemplary Projects Innovate to Empower... || 20 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustaina... || 1 Climate Change Response and Carbon Neutrality 2 Energy Management 3 Natural Re... || 19 ENVIRONMENT, SOCIAL AND GOVERNANCE REPORT 2024 Stakeholder category Communica..."
CN001-I003,CN001,Alibaba,S,community_development,We have supported economic revitalization in rural parts of China by deploying 2...,We have supported economic revitalization in rural parts of China by deploying 29 rural revitalization commissioners to 27 counties.,yes,Business–Society/Community,Society,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"29, 27",yes,not stated,national,Alibaba 2024.pdf,4,Medium,13,"sustainability, 2024, company, stock exchange, materiality, government",CN012-I004;CN015-I002;CN009-I005;CN021-I003;CN033-I001,"We wholeheartedly supported rural revitalization, with agricultural loan balance... || To build a robust talent pipeline for rural revitalization, we have organized tw... || Photo: CCB Long Credit Card at Nanjing East Road, Shanghai’s iconic shopping dis... || We conducted ​targeted benevolent donation activities in the Luolong region of T... || About the Report 1 2 Guangdong Investment Limited Environmental, Social and Gove..."
CN001-I004,CN001,Alibaba,E,emissions_reduction,We worked with China Association for Standardization and China Environmental Uni...,We worked with China Association for Standardization and China Environmental Unified Certification Center to create and release the General rules for enterprise scope 3+ greenhouse gas emission reduction accounting and reporting in last December.,yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,3,yes,Scope 3,national,Alibaba 2024.pdf,11,Medium,13,"sustainability, 2024, company, stock exchange, materiality, government",CN014-I001;CN015-I003;CN046-I005;CN033-I001;CN011-I003,"In 2024, the Company carried out accounting of 100% greenhouse gas emissions in ... || 6 2024 Environmental, Social and Governance and Sustainability Report Witness ES... || The Company actively manages its response to ongoing energy-related regulatory a... || About the Report 1 2 Guangdong Investment Limited Environmental, Social and Gove... || The amount of greenhouse gases was presented in carbon dioxide equivalent, and G..."
CN001-I005,CN001,Alibaba,G,ESG_governance,"As of May 31, 2024, 14,714 suppliers had signed the updated version of the Aliba...","As of May 31, 2024, 14,714 suppliers had signed the updated version of the Alibaba Supplier ESG Code of Conduct.",yes,Business–Business Partners (industry/supply chain/consortium),Business Partners,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"31, 2024, 14,714",yes,not stated,not stated,Alibaba 2024.pdf,19,Medium,0,"suppliers, supplier, code, business partners, partners, business",CN029-I002;CN064-I007;CN048-I005;CN029-I006;CN004-I007,"In 2024, GDS carried out a review of the Supplier Code of Conduct, strengthening... || Supplier RFI Survey Supplier Certification Audit Agreement Signing Supplier CSR ... || As the first enterprise in our industry to obtain ISO 20400 certification for Su... || Together with the Code of Conduct, it allows GDS to collect useful data to build... || ESG Scorecard The ESG Scorecard was established by AUO with the scores used a re..."
CN001-I006,CN001,Alibaba,E,emissions_reduction,19 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustaina...,"19 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustainable Digital Life Fueling Small Businesses Enhancing Community Inclusion and Resilience Facilitating Participatory Philanthropy Building Trust Appendices ESG Performance Summary Chapter 1 Restoring Our Green Planet Chapter 2 Supporting Our People Chapter 3 Enabling a Sustainable Digital Life Chapter 4 Fueling Small Businesses We have been granted over 20,000 patents worldwide over 20,000 The ModelScope community offers over 3,800 open- source models for developers to download and use over 3,800 85% of annual active merchants on Taobao and Tmall are MSMEs 85% Over 320,000 factories from industrial belts in China have set up shop on 1688.com over 320,000 A cumulative total of over 2.2 million companies and organizations have used AI tools on the DingTalk platform over 2.2 million Taobao and Tmall Group positions itself as the “Universal Taobao.” On the Taobao app, consumers have access to an extensive selection of products, including branded items, imports, and goods sourced directly from manufacturers or farms, together with various long-tail offerings Universal Taobao Amap’s wheelchair navigation feature has helped plan over 54 million wheelchair-accessible routes over 54 million The Taobao and Tmall platforms have provided a total of 2.73 million Low-carbon Friendly Products 2.73 million The GreenNet Program has automatically redirected about 70 million inappropriate searches to educational pages about 70 million Youku Barrier-free Theater breaks down barriers for visually impaired viewers by offering a vast library of over 2,000 movies and TV episodes, which have been played over 970,000 times over 970,000 times Net emissions from our own operations totaled 4.449 million tons, down 5.0% year on year 5.0% 63.5% Emissions reduced in our own operations reached 2.320 million tons, up 63.5% year on year 7.0% Net emissions intensity in our value chain dropped to 8.1 tons per million RMB of revenue, down 7.0% year on year Enabled and engaged the platform ecosystem to achieve 33.338 million tons of emissions reduction, up 45.5% year on year 45.5% Annual average PUE value of Alibaba Cloud’s self- built data centers further dropped to 1.200 1.200 Women account for 47.2% of our total employees 47.2% 41.4% Women account for 41.4% of our management DEI Working Group Under guidance from the Sustainability Committee of the Board of Directors, a Diversity, Equity, and Inclusion (DEI) Working Group has taken over from our Working Environment Committee and shouldered a broader range of responsibilities Our Xixi Campus Park A and Park B and Cloud Valley Campus in Hangzhou City have all obtained ISO 45001 and ISO 14001 certifications ISO 45001 and ISO 14001 certifications Once again ranking among Top 5 Chinese enterprises on the Forbes list of the World’s Best Employers 2023 the Forbes list of the World’s Best Employers 2023",yes,Business–Society/Community,Society; Business Partners,B) Government subsidy / incentive-supported,ii) subsidies/incentives,"19, 1, 2, 3, 4",yes,PUE; emissions intensity,national,Alibaba 2024.pdf,20,Medium,1,"digital, ai, industry, business, 2024, partners",CN070-I007;CN002-I002;CN001-I001;CN034-I003;CN005-I001,"06 Chairman's Address Board Statement Tech for Practicality and AI for Good Supp... || AI-Powered Digital Inclusion Technological Innovation Green and Low-Carbon Devel... || As of March 31, 2024, the Barrier-free Entrepreneurship and Employment Assistanc... || 5 Sustainability Report 2024 OPERATIONS PEOPLE RESPONSIBLE DATA SMARTABILITY OUR... || Baidu 2024 Environmental, Social and Governance (ESG) Report 04 Baidu has develo..."
CN001-I007,CN001,Alibaba,S,diversity_inclusion,20 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustaina...,"20 Contents Supporting Our People Restoring Our Green Planet Enabling a Sustainable Digital Life Fueling Small Businesses Enhancing Community Inclusion and Resilience Facilitating Participatory Philanthropy Building Trust Appendices Chapter 5 Enhancing Community Inclusion and Resilience Chapter 6 Facilitating Participatory Philanthropy Chapter 7 Building Trust Issued Alibaba Group ESG Governance and Disclosure Policy, which has been approved by the Sustainability Committee of the Board of Directors Alibaba Group ESG Governance and Disclosure Policy Achieved a 100% pass rate in Alibaba Group Code of Business Conduct exam among employees 100% Achieved a 100% pass rate in the exam on data security red line among employees 100% EasyRobust, an Alibaba-developed training framework for the robustness of visual classification models, has won the IEEE Open Source Science Award IEEE Open Source Science Award Our employees have provided 262,272 hours of volunteer service 262,272 119 active Hugs and Help Groups established by our employees have organized 2,227 events, which have achieved an attendance of 184,665 in philanthropy 119 In May 2024, our First-aid Responder program has won the gold prize in the first National Red Cross Competition for Volunteer Service Programs Gold prize in the first National Red Cross Competition for Volunteer Service Programs The Goods for Good program has attracted over 1.87 million merchants and over 470 million users, resulting in a net donation of about RMB290 million about 290 million The Daily Positive Energy program has been ongoing for ten years and has cumulatively enabled 12,622 individuals to receive positive feedback and encouragement 12,622 In our efforts to introduce talents into the countryside, we have deployed a cumulative total of 29 rural revitalization commissioners 29 In the Cloud for Youth Program, we have built a cumulative total of 162 cloud computer classrooms and served about 160,000 teachers and students 162 The Xiao Lu Lantern project has cumulatively helped 1,967 children with serious illnesses 1,967 The Alibaba DAMO Academy has collaborated with over 10 top-notch medical institutions worldwide to make a breakthrough in early screening for pancreatic cancer.",yes,Business–NGO/Nonprofit,NGO; Society,A) Government mandate / compliance-driven,i) regulation/government policy,"20, 5, 6, 7, 100",yes,not stated,not stated,Alibaba 2024.pdf,21,Medium,2,"governance, management, report, social, development, environmental",CN007-I004;CN005-I006;CN013-I003;CN062-I001;CN065-I007,"18 2024 BYD Sustainability Report GOVERNANCE INTEGRITY AND CREDIBILITY FOR BUSIN... || Baidu 2024 Environmental, Social and Governance (ESG) Report Corporate Governanc... || 19 ENVIRONMENT, SOCIAL AND GOVERNANCE REPORT 2024 Stakeholder category Communica... || Highlighted Performance Released and optimized sustainability and ESG-related pr... || 1 Climate Change Response and Carbon Neutrality 2 Energy Management 3 Natural Re..."
CN002-I001,CN002,ANT Group,E,emissions_reduction,ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of D...,"ESG Sustainable Development Oﬃce Ant Group's ESG governance structure Board of Directors of Ant Group The ESG Sustainable Development Committee Supervising decision-making Risk management Policy making Strategy planning Leading execution Setting objectives Overall coordination Issue management Internal and external communication ESG Sustainable Development Leadership Team ESG Issue Working Groups Members of ESG Issue Working Groups Execution ESG Issue Leaders ESG Sustainable Development Oﬃce External input and empowerment External input and empowerment ESG Sustainable Development Advisory Committee Chaired by Chief Executive Oﬃcer, Chief Sustainability Oﬃcer as the executive team leader Eric JING Chairman of Ant Group Laura CHA Independent director of Ant Group Former Chairman of HKEX (retired in April 2024) Jun MA President of Institute of Finance and Sustainability Director of Green Finance Committee, China Society for Finance and Banking Jian WANG Academician of Chinese Academy of Engineering Founder of Alibaba Cloud Qimin CHAI Director of Strategy and Planning Department, National Center for Climate Change Strategy and International Cooperation Vice Chairman of Environment and Development Technology Expert Group, UN APEC Council Yonggang WEN Associate Provost and Dean of Graduate College, Nanyang Technological University, Singapore Professor of School of Computer Science and Engineering, Nanyang Technological University, Singapore Academician of Singapore Academy of Engineering Members of ESG Sustainable Development Committee Members of ESG Sustainable Development Advisory Committee Opening Message About Ant Group ESG Sustainability Strategy AI-Powered Digital Inclusion Technological Innovation Green and Low-Carbon Development Openness and Trustworthiness Appendices Ant Group 2024 Sustainability Report 06",yes,Business–NGO/Nonprofit,International Cooperation Vice Chairman of Environment and Development Technology Expert Group; Nanyang Technological University; UN APEC Council Yonggang WEN Associate Provost and Dean of Gradu,D) Business-led voluntary collaboration (partners/NGOs/community),iv) NGO expertise/problem-solving,"2024, 2024, 06",yes,green finance,national,ANT Group 2024.pdf,8,High,4,"esg, 2024, governance, report, management, corporate",CN015-I007;CN036-I002;CN002-I008;CN044-I007;CN033-I002,"9 ESG ESG Governance System Board of Directors Governance Strategy and Investmen... || ESG Sustainable Development Value Management Achievements ESG Sustainable Value ... || The ESG Sustainable Development Committee 2024 ESG Sustainable Development Manag... || 2024 Environmental, Social and Governance (ESG) Report Optimizing Corporate Gove... || Governance level Roles Component Functions ESG Committee Management and supervis..."
CN002-I002,CN002,ANT Group,E,emissions_reduction,AI-Powered Digital Inclusion Technological Innovation Green and Low-Carbon Devel...,"AI-Powered Digital Inclusion Technological Innovation Green and Low-Carbon Development Openness and Trustworthiness ESG 2024 WIC Distinguished Contribution Award -World Internet Conference Wuzhen Summit 2024 List of China's Top 100 Private Enterprises with Social Responsibility -All China Federation of Industry and Commerce 2024 List of China's Top 500 Private Enterprises -All China Federation of Industry and Commerce Top 10 Private Enterprises and Top 3 Internet Enterprises in the Blue Book of Corporate Social Responsibility (2024) -China Social Responsibility 100 Forum and CSR Cloud 2024 China ESG Impact List -Fortune China Annual Responsible ESG Practice - Disclosure Pioneer -The Paper Ram Charan Management Practice Award - Corporate ESG Practice Award -Harvard Business Review The Tomtit satellite remote sensing risk control system was awarded second prize at the 2024 China ""Digital Village"" Innovation Contest -Steered by Oﬃce of the Central Cyberspace Aﬀairs Commission and Ministry of Agriculture and Rural Aﬀairs, hosted by China Federation of Internet Societies, Information Center of Ministry of Agriculture and Rural Aﬀairs, Oﬃce of the Cyberspace Aﬀairs Commission of the Shanxi Provincial Committee of the Communist Party of China, and Department of Agriculture and Rural Aﬀairs of Shanxi Province Green Computing and Low-Carbon Innovation with Public Participation was selected as one of the 20 Cases of Private Sector's Sustainable Development in China for 20 Years initiated by the United Nations Global Compact -United Nations Global Compact At COP16, Ant Group was included among Typical Cases of China’s Fostering Public Engagement in Desertiﬁcation Control through Digital Technology and Platforms -United Nations Convention on Biological Diversity Ant Group's Solution for Consumer Finance Technological Innovation to Empower Green Finance Transformation was selected as a typical case of Chinese private enterprises' green and low-carbon development for 2024 -All-China Federation of Industry and Commerce Alipay Ant Forest was ranked ﬁrst on the China Public Welfare Project Brand List 2024 -Southern Weekly Ant Group was recognized as one of the Best Employers of the Year and named the Best ESG Practice Employer of the Year for 2024 -Forbes China Ant Group secured a spot on China's 2024 Top Employers -Top Employers Institute The Privacy-Enhanced Data Collaboration Platform FAIR was selected as one of the Ten Best Solutions at the 7th Digital China Summit -Digital China Summit The User Personal Information Contracting and Authorization Management Solution took ﬁrst place at the ﬁnals in the Solutions Track of the 2024 China Cybersecurity Week - China Cybersecurity Innovation and Entrepreneurship Competition -Oﬃce of the Central Cyberspace Aﬀairs Commission, China Cybersecurity Industry Alliance, Ministry of Education Steering Committee on Instruction for Higher Education Cybersecurity Majors, and Oﬃce of the Cyberspace Aﬀairs Commission of the Guangzhou Municipal Committee of the Communist Party of China Digital intelligence platform for urban mobility optimization and its applications won the Sustainable Transportation Gold Award of the APEC PPSTI Prize for Science & Technology Innovation -APEC Innovating for Public Urban Technology Transformation Competition Innovating Digital Philanthropy and Pooling Resources from Various Sectors of Society to Help the Disadvantaged, an Ant Farm project, was selected as a UN poverty reduction case -International Poverty Reduction Center in China, China Internet Information Center, World Bank, Food and Agriculture Organization of the United Nations, UN World Food Program, UN International Fund for Agricultural Development, and Asian Development Bank The Cyber Mulan Program was cited into the National Review Report to the Thirtieth Anniversary of the Fourth World Conference on Women and Adoption of the Beijing Declaration and Platform for Action (1995) -National Working Committee for Children and Women under the State Council The Innovations and Applications of Cognitive Decision-Making Intelligence project received the World Internet Conference Awards for Pioneering Science and Technology while Alipay's Tbox was awarded the title of New Light at the 2024 Light of Internet Expo -World Internet Conference The Intelligent Cognitive Decision-Making Technology and Platform project was recognized in the 2024 WAIC SAIL Award Top 30 List -World Artiﬁcial Intelligence Conference Ant Group was ranked eighth in the Top 500 Chinese Private Enterprises in R&D Investment (2024) -All China Federation of Industry and Commerce Intelligently Integrating Multi-dimensional Data for Motorist Coverage and Auto Insurance to Enable Precise Pricing of New Energy Vehicles took ﬁrst place in the ﬁrst-prize group in the Financial Services Track of the Zhejiang Provincial Division of the Data Factor x competition -National Data Administration Key Technologies and Applications for Eﬃciently Collaborative Dynamic Internet Behavior Security and Trustworthiness was awarded ﬁrst prize for Scientiﬁc and Technological Progress in the 2024 China Institute of Electronics Science and Technology Award -China Institute of Electronics Honors and Awards Opening Message About Ant Group ESG Sustainability Strategy AI-Powered Digital Inclusion Technological Innovation Green and Low-Carbon Development Openness and Trustworthiness Appendices Ant Group 2024 Sustainability Report 10",yes,Multi-actor (more than 3 categories),International Fund for Agricultural Development; International Poverty Reduction Center in China; Ministry of Agriculture and Rural A; Ministry of Education Steering Committee on Instruction for Higher Education Cybersecurity Ma; UN International Fund for Agricultural Development; UN World Food Program,A) Government mandate / compliance-driven,i) regulation/government policy,"2024, 2024, 100, 2024, 500",yes,green finance,multiple,ANT Group 2024.pdf,12,High,16,"china, 2024, award, technology, innovation, honor",CN062-I002;CN054-I003;CN056-I001;CN005-I001;CN037-I001,"Annual honors and awards Fortune China 2024 Fortune China ESG Impact List China ... || 2024 Sustainability Report Digital Finance Engine Green Finance Escort Laying a ... || Governance topics Social topics Environmental topics POWERCHINA Dual-Materiality... || Baidu 2024 Environmental, Social and Governance (ESG) Report 04 Baidu has develo... || 5 Honors Honors Chairman and President Qiu Yibo was honored with the title of “O..."
CN002-I003,CN002,ANT Group,S,diversity_inclusion,"As of the end of 2024, through initiatives such as the A-Idol initiative digital...","As of the end of 2024, through initiatives such as the A-Idol initiative digital employment support program (launched in partnership with the China Women's Development Foundation) and the B&B Housekeeper Training Program under the Cyber Mulan Program, launched in collaboration with the China Foundation for Rural Development, we had established digital employment centers in 16 counties.",yes,Multi-actor (more than 3 categories),China Foundation; Development Foundation,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,"2024, 16",yes,not stated,national,ANT Group 2024.pdf,35,High,17,"tcl, foundation, charity, 2024, tcl charity, charity foundation",CN002-I005;CN002-I004;CN031-I003;CN035-I006;CN065-I002,"Digital employment: In September 2023, Digital Engine reached strategic cooperat... || In 2023, MYbank partnered with the Big Data Development Center of the Ministry o... || In 2024,  Established 2 joint laboratories with universities  Participated in ... || 2 Enriched Digital Functionalities and Services to Help Our Customers Manage The... || In 2024, we collaborated with One Foundation to organise cybersecurity awareness..."
CN002-I004,CN002,ANT Group,Cross-cutting,innovation_green_tech,"In 2023, MYbank partnered with the Big Data Development Center of the Ministry o...","In 2023, MYbank partnered with the Big Data Development Center of the Ministry of Agriculture and Rural Aﬀairs to expand digital credit coverage for farmers.",yes,Multi-actor (more than 3 categories),Ministry of Agriculture and Rural A,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2023,yes,not stated,not stated,ANT Group 2024.pdf,38,High,1,"digital, ai, industry, business, 2024, partners",CN035-I006;CN009-I006;CN002-I003;CN035-I004;CN035-I001,"2 Enriched Digital Functionalities and Services to Help Our Customers Manage The... || China Construction Bank Corporation 2024 Sustainability Report 63 Photo: Cuijiaj... || As of the end of 2024, through initiatives such as the A-Idol initiative digital... || Partnering in Our Customers’ Sustainability Journey We continue to contribute to... || Digitalisation of Business 1 Enhanced Digital Capabilities and Services to Bette..."
CN002-I005,CN002,ANT Group,Cross-cutting,innovation_green_tech,"Digital employment: In September 2023, Digital Engine reached strategic cooperat...","Digital employment: In September 2023, Digital Engine reached strategic cooperation with the People's Government of Ping'an District, Haidong City, to support the district in building a center for the digital economy.",yes,Business–Government,People's Government of Ping,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2023,yes,not stated,not stated,ANT Group 2024.pdf,39,High,1,"digital, ai, industry, business, 2024, partners",CN002-I003;CN031-I001;CN031-I003;CN057-I006;CN024-I005,"As of the end of 2024, through initiatives such as the A-Idol initiative digital... || 2021 Collaborated with industry, academia, and research institutions to lead the... || In 2024,  Established 2 joint laboratories with universities  Participated in ... || Digitalization Technical Committee Digitalization Investment Decision Committee ... || 2024- accelerating industrial digital transformation and fully deploying a new e..."
CN002-I006,CN002,ANT Group,Cross-cutting,innovation_green_tech,Promoting collaboration in medical research and empowering the development of sm...,"Promoting collaboration in medical research and empowering the development of smart healthcare In 2024, Ant Group partnered with Peking University Third Hospital to jointly advance the R&D and application of key technologies for smart healthcare with a focus on medical big data, multimodal fusion foundation model and AI clinical application.",yes,Business–NGO/Nonprofit,Ant Group partnered with Peking University,D) Business-led voluntary collaboration (partners/NGOs/community),iv) NGO expertise/problem-solving,2024,yes,not stated,not stated,ANT Group 2024.pdf,45,High,11,"medical, relief, hospital, healthcare, west china, china hospital",CN041-I006;CN041-I001;CN039-I005;CN022-I005;CN002-I007,"As part of this initiative, a medical assistant system that provides comprehensi... || In April 2024, Xunfei Healthcare, West China Hospital affiliated to Sichuan Univ... || At the forum, Xu Zhiyu shared with guests how AI is empowering the smart termina... || Additionally, we actively implemented the ""AI+"" initiative, launching CRRC's art... || In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation Sys..."
CN002-I007,CN002,ANT Group,Cross-cutting,innovation_green_tech,"In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation Sys...","In 2024, we introduced the Advanced AI-Driven Foundation Model Identiﬁcation System, which runs on the basis of applicable policies, achieving more eﬃcient and accurate project identiﬁcation and automated review and approval.",yes,Business–NGO/Nonprofit,Advanced AI-Driven Foundation,D) Business-led voluntary collaboration (partners/NGOs/community),vii) not stated,2024,yes,not stated,not stated,ANT Group 2024.pdf,72,High,1,"digital, ai, industry, business, 2024, partners",CN022-I005;CN070-I007;CN070-I001;CN065-I005;CN027-I004,"Additionally, we actively implemented the ""AI+"" initiative, launching CRRC's art... || 06 Chairman's Address Board Statement Tech for Practicality and AI for Good Supp... || 02 Chairman's Address Board Statement Tech for Practicality and AI for Good Supp... || We have deployed AI to more than 700 use cases, fostering innovation and increas... || In 2023, Fii officially launched the “Action in Response to the UN SDGs” (herein..."
